mach,cp_min_corrected,cp_crit
0.6550000000000002,-2.1632116099295544,-0.9833315969380891
0.6600000000000004,-2.1895296590107725,-0.9586781320481333
0.6650000000000003,-2.216864936550965,-0.9345490638044665
0.6700000000000004,-2.245276620197277,-0.910928520391843
0.6750000000000003,-2.274828668422046,-0.8878012144044614
0.6800000000000004,-2.305590315685364,-0.8651524171478914
0.6850000000000003,-2.337636630645972,-0.8429679342492219
0.6900000000000004,-2.3710491470052144,-0.8212340824998112
0.6950000000000003,-2.4059165782725462,-0.7999376678600068
0.7000000000000004,-2.442335629793705,-0.7790659645596293
0.7050000000000003,-2.480411923864939,-0.7586066952323128
0.7100000000000004,-2.5202610567714254,-0.738548012025624
0.7150000000000003,-2.5620098102648567,-0.7188784786326041
0.7200000000000004,-2.6057975445000867,-0.6995870531936796
0.7250000000000003,-2.651777804996091,-0.680663072021125
0.7300000000000004,-2.7001201830466135,-0.6620962341011334
0.7350000000000003,-2.7510124775362654,-0.6438765863313414
0.7400000000000004,-2.8046632167834993,-0.6259945094541784
0.7450000000000003,-2.8613046124432446,-0.6084407046488072
0.7500000000000004,-2.921196034468306,-0.5912061807466522
0.7550000000000003,-2.9846281177283944,-0.574282242037586
0.7600000000000005,-3.051927638569676,-0.5576604766357919
0.7650000000000003,-3.12346333533143,-0.5413327453761247
0.7700000000000005,-3.1996528933086443,-0.5252911712135181
0.7750000000000004,-3.280971375569285,-0.5095281290995474
0.7800000000000005,-3.3679614615735867,-0.494036236311752
0.7850000000000004,-3.4612459629804024,-0.4788083432127431
0.7900000000000005,-3.5615432307321133,-0.46383752441737386
0.7950000000000004,-3.669686264425199,-0.4491170703475346
0.8000000000000005,-3.7866466059062054,-0.43464047915522863
0.8050000000000004,-3.9135644762440727,-0.4204014489957073
0.8100000000000005,-4.051787147158478,-0.40639387063341126
0.8150000000000004,-4.2029182985108875,-0.39261182036444847
0.8200000000000005,-4.3688822172304045,-0.37904955324021045
0.8250000000000004,-4.552008321267099,-0.36570149657757006
0.8300000000000005,-4.755143937175301,-0.35256224374188827
0.8350000000000004,-4.981807003886526,-0.3396265481898142
0.8400000000000005,-5.236396233031742,-0.32688931775951346
0.8450000000000004,-5.5244856427046845,-0.3143456091966995
0.8500000000000005,-5.853245828216719,-0.30199062290533685
0.8550000000000004,-6.232060523494665,-0.28981969791259915
0.8600000000000005,-6.6734529383561005,-0.2778283070381045
0.8650000000000004,-7.194520075644527,-0.26601205225802227
0.8700000000000006,-7.819232754547327,-0.25436666025512467
0.8750000000000004,-8.582279186914565,-0.24288797814629495
0.8800000000000006,-9.535812945335888,-0.231571969379457
0.8850000000000005,-10.762034920695159,-0.22041470979228361
0.8900000000000006,-12.398484671308532,-0.20941238382544233
0.8950000000000005,-14.694051592942452,-0.19856128088348704
0.9000000000000006,-18.15028899183503,-0.1878577918368394
0.9050000000000005,-23.95115742457843,-0.17729840565866956
0.9100000000000006,-35.722111651516876,-0.16687970619073386
0.9150000000000005,-72.52164574352794,-0.15659836903256044
0.9200000000000006,-362.5807389691504,-0.1464511585486391
0.9250000000000005,-191.28997761397926,-0.13643492498851678
0.9300000000000006,-272.972519972141,-0.12654660171496002
0.9350000000000005,-226.13553635838664,-0.11678320253557
0.9400000000000006,-85.01155270491792,-0.10714181913346774
0.9450000000000005,-39.15461742081267,-0.09761961859286207
0.9500000000000006,-579.3194805251301,-0.08821384101550449
