alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
4.25,1.0719022750854492,0.008554528467357159,-0.13368843495845795,-3.5856552124023438,True,False,1.5268022934833425e-06,
4.5,1.100933313369751,0.008684346452355385,-0.13353349268436432,-3.7783780097961426,True,False,2.9774346330668777e-06,
4.75,1.129809856414795,0.008828838355839252,-0.13333770632743835,-3.9745805263519287,True,False,6.184804135500599e-08,
5.0,1.1584563255310059,0.008999332785606384,-0.13309015333652496,-4.173912048339844,True,False,6.1420332713169046e-06,
5.25,1.187025785446167,0.009182791225612164,-0.13282126188278198,-4.376140117645264,True,False,1.9327490008436143e-05,
5.5,1.215783715248108,0.009337229654192924,-0.13257987797260284,-4.595105171203613,True,False,1.2793894654805626e-07,
5.75,1.2444959878921509,0.009491028264164925,-0.13232117891311646,-4.821119785308838,True,False,1.7712243788992055e-05,
6.0,1.2730125188827515,0.009663975797593594,-0.13201548159122467,-5.050924301147461,True,False,1.7988558056458714e-06,
6.25,1.3012362718582153,0.009867364540696144,-0.13164319097995758,-5.2837300300598145,True,False,9.250611583411228e-06,
6.5,1.3293334245681763,0.010079875588417053,-0.1312287449836731,-5.519655227661133,True,False,3.1385224019686575e-07,
6.75,1.357601523399353,0.010259981267154217,-0.1308353692293167,-5.762474060058594,True,False,4.79487539450929e-07,
7.0,1.3857232332229614,0.010450387373566628,-0.13040341436862946,-6.009477615356445,True,False,7.695620070080622e-07,
7.25,,,,,False,False,0.0054769148118793964,did not converge within the iteration budget (final RMS residual 0.00548)
7.5,1.4412885904312134,0.010901420377194881,-0.1293933242559433,-6.513462543487549,True,False,4.664217703975737e-05,
7.75,1.4687901735305786,0.011153791099786758,-0.1288183480501175,-6.769234657287598,True,False,9.617324394639581e-05,
8.0,1.4963940382003784,0.011381831020116806,-0.1282469481229782,-7.031050205230713,True,False,1.2806147253741074e-07,
8.25,1.5239890813827515,0.01159834023565054,-0.1276620775461197,-7.299140930175781,True,False,6.88710315444041e-07,
8.5,1.5513556003570557,0.011831441894173622,-0.12702225148677826,-7.5705437660217285,True,False,4.795590484718559e-07,
